"","X.scratch_tmp.grp.msc_appbio.group10.outputs.SRR11318268_Aligned.sortedByCoord.out.bam","X.scratch_tmp.grp.msc_appbio.group10.outputs.SRR11318269_Aligned.sortedByCoord.out.bam","X.scratch_tmp.grp.msc_appbio.group10.outputs.SRR11318270_Aligned.sortedByCoord.out.bam","X.scratch_tmp.grp.msc_appbio.group10.outputs.SRR11318271_Aligned.sortedByCoord.out.bam"
"YAL068C",2.35838536858176,3.86505884241773,2.77815562068827,2.09351370474963
"YAL067W-A",0,0,0,0
"YAL067C",0,0,0.0707400736749329,0
"YAL065C",0.158009207972532,0.617083450348072,0.325733362503179,0.392736679495667
"YAL064W-B",3.53094592303973,5.0927605621738,3.80492475018478,3.90943078912144
"YAL064C-A",0,0,0,0
"YAL064W",0,0,0,0
"YAL063C-A",0,0,0,0
"YAL063C",4.33701237619844,5.03916502395917,4.20831254617203,4.80973301274422
"YAL062W",264.269365339247,265.751434126865,316.959008951777,285.394370457965
"YAL061W",276.782234723253,229.122679138285,271.368230521473,180.108289567566
"YAL060W",320.037336831394,358.47674633794,164.512782878548,176.910544478638
"YAL059W",140.672704731602,121.087417327455,116.836198725744,156.698616217254
"YAL058W",32.1551879560245,31.5922497158443,29.4471378258963,30.5992624587895
"YAL056W",47.3718241529681,47.933935735352,52.333723301763,43.5207518234499
"YAL055W",91.9495738228443,91.3134349603805,98.3165867049306,74.9029130986863
"YAL054C",1561.55487762278,1297.71418034086,1876.80207101124,1258.00423083583
"YAL053W",126.32896640111,128.505759181421,142.9684860173,125.920897299513
"YAL051W",26.7821084349091,27.411267870823,27.7056738551249,20.8549922289519
"YAL049C",231.105738921428,205.857914795013,267.768649080245,252.289590832298
"YAL048C",29.2374232652522,29.7913789052374,32.5604395674134,22.0227537299457
"YAL047C",19.1399115243132,17.6169648675113,16.0524328981904,15.1907773886725
"YAL046C",138.400132482294,151.431111960994,122.52775214899,164.420696009565
"YAL044W-A",256.258906437939,269.290214352571,246.250020250208,258.51838855278
"YAL044C",357.659386428562,323.244820981123,453.553705528605,447.908603835906
"YAL043C",42.2964113844945,42.9288116152688,44.3852112266618,29.5985548803422
"YAL042W",203.831878284566,197.669926305368,180.376219758694,161.025626091738
"YAL041W",28.3815030523714,29.4208067485249,26.9441494304275,30.1963519665005
"YAL040C",22.08471039245,25.0731308302357,28.0612844406353,24.0148002027036
"YAL039C",136.227638653518,145.092603323438,139.403926187506,128.909269433128
"YAL038W",2593.03849232089,2941.72456668319,2525.16012034295,1726.95207463158
"YAL037C-A",9.86283282022094,16.0491461884882,13.5547108912613,29.41724418674
"YAL037W",28.8635066451466,27.438051494931,25.0863306047225,30.8893260164827
"YAL036C",70.0190046755901,74.0637733349183,65.9537429332704,84.0458617021698
"YAL035W",125.774226789948,137.46133713297,132.395266990764,101.043198925767
"YAL034W-A",20.8751958105228,24.4987449473101,22.5312013280432,32.1448200845143
"YAL034C",223.91965759377,217.20387233171,226.515098304045,131.650457619289
"YAL033W",117.55476428653,95.4444568558838,77.8207891528609,135.974918292284
"YAL032C",63.8852018518206,61.169208967661,59.7120685051881,45.863376024473
"YAL031C",31.056907078969,31.6296826157303,29.2508345511191,25.1783949696435
"YAL030W",354.114703799458,355.771488279013,303.840906022907,235.883640603598
"YAL029C",11.7286413659665,13.4723423772196,15.3719814037548,22.4817202968801
"YAL028W",25.180365304152,24.2272328549699,28.0991206637608,19.25003660235
"YAL027W",87.0175404050714,83.0978234864714,70.7276536619976,59.8287862367892
"YAL026C",18.7221684663294,20.7961901068354,19.7780325233609,22.6264985031212
"YNCA0001W",0.813159088901194,0.793920529536914,0.89403412261511,0.700658948419398
"YAL025C",89.9316870151285,106.181569401831,85.8869751180004,102.811298765564
"YAL024C",7.18947397988389,7.92711588340591,6.3643898457054,5.22153808142847
"YAL023C",61.8737030529597,79.512116023246,54.653129367943,60.7556408556754
"YAL022C",32.7390198325789,32.5023094933815,35.550369399798,36.0900746731144
"YAL021C",54.7524532241716,61.5789268768135,65.8624696212201,52.40419551134
"YAL020C",108.04920374336,128.134653320797,75.0125411486083,71.3226271980637
"YAL019W",14.8012194302044,18.0374255714153,14.838636576169,14.6081391626968
"YAL018C",19.6954115520363,19.4430975327654,18.8185955502604,24.0882512469812
"YAL017W",39.4069957759439,41.3564144376606,42.9950035554906,37.6257946218494
"YAL016W",138.5159399286,133.204885223661,153.97277762494,115.505339464881
"YAL015C",56.3849933304681,55.8470164493917,39.866099070061,50.3337219491839
"YAL014C",107.688521632764,115.751959205379,100.986567246603,92.7370962246304
"YAL013W",69.2325517621716,70.1679739737384,75.8888533476696,50.7628602887439
"YAL012W",46.1330884016208,55.7982087611412,50.8224448043806,49.2521624189807
"YAL011W",29.2235001214693,32.0767567814518,27.4872647618398,21.3173203481014
"YAL010C",36.0213015672927,34.5043647792424,29.7497093442871,30.4183303418128
"YAL009W",68.1660839109347,68.2755369852422,63.5142472262449,70.7723580656715
"YAL008W",254.789847855707,225.210652002158,218.808112559375,241.807776210367
"YAL007C",73.4172228265705,90.0609726623449,76.4523346241837,139.088785978611
"YNCA0002W",1.27394923927854,2.07301471601305,0,1.68876772183137
"YAL005C",1586.70278689215,1802.64459265353,1443.61518168819,1168.36987744706
"YAL003W",1280.4482267021,1519.44167323957,1305.90635704223,1572.31617370856
"YNCA0003W",348.912215181228,422.309680264495,211.024921838733,269.110103437716
"YAL002W",19.7836823040902,20.8686733199771,20.317714290066,17.0307257782806
"YAL001C",33.0853724915818,34.2909845117033,32.8809733149043,26.2348101903106
"YAR002W",46.5982321744994,47.6516982720867,52.8357610278074,52.8021374359275
"YAR002C-A",259.607692251524,278.703636656126,228.386096361363,265.750629680918
"YAR003W",40.2174139238283,42.3885388488365,33.3352242966881,49.7375711235393
"YAR007C",92.8549239741668,94.5774636738457,112.311239961155,98.6381532703113
"YAR008W",54.3920936074576,47.7694695429095,54.1611378212148,98.3523636257878
"YAR009C",0.502342557175831,0.556960344753382,0.41247313635271,0.465575061156518
"YAR010C",0.0924407611267873,0.203070829323728,0.0476412741076079,0.114882157947712
"YNCA0004W",0.418832626612122,0.817846901659945,0,0.41640847935568
"YAR014C",41.8142437635874,42.7029352542543,38.2171255350693,38.5895317168903
"YAR015W",98.3970174650576,100.866008540445,137.04276308669,154.365471693915
"YAR018C",14.7731361325511,16.4091476786795,11.6854976060845,14.4784718903799
"YAR019C",17.3413890294408,17.8087910372568,15.6011246791523,12.5332546001762
"YAR020C",231.676768800225,184.261393757617,98.858621352918,78.5276990651586
"YAR023C",30.8012616074455,34.3844040896032,25.1534016969643,33.4938931496555
"YNCA0005W",1.11858957595189,1.09212482599712,3.45893079755663,2.2242306580218
"YNCA0006C",3.35576872785566,5.4606241299856,1.53730257669183,3.3363459870327
"YAR027W",128.258618327365,116.960192994309,123.699659806279,172.769524897867
"YAR028W",10.3216993684525,12.6180436161067,5.99002862152123,10.3481936997326
"YAR029W",9.24037848223366,9.15443298591365,6.72313660206562,11.0783162552138
"YAR031W",10.9755626768612,12.1801747595041,11.2427033479358,11.4881389505184
"YAR033W",19.5591866183701,18.4189562852564,17.5230688032561,22.7229086656629
"YAR035W",170.738824789819,145.221912303398,187.652954304566,107.349662131647
"YAR035C-A",8.30426170788973,5.89657519221491,11.2830417511518,7.88091603521305
"YAR042W",36.6777378965373,37.2494069004842,42.3906767986633,31.7783759531161
"YAR050W",1.93494500842306,2.36792734271244,2.87552880107041,2.17409628688304
"YAR061W",0,0,0,0
"YAR064W",1.2229912697074,1.99009412737253,2.52117622577461,1.92519520288776
"YAR066W",5.79522006887492,5.90199483853128,5.30394508281831,3.6755532769271
"YAR068W",19.9428103136443,20.8837038057611,16.0815767487681,12.0090149108008
"YAR071W",11.7159776193479,13.2247708036935,12.9291088501262,12.6008053090494
"YBL113C",43.2853572548814,48.0207454316184,48.2854526216291,36.952708082242
"YBL112C",0,0,0,0
"YBL111C",0.167825648288191,0.0595836565081596,0.0471776988356027,0.182022868221345
"YBL108C-A",0.948055247835191,0.694218881641581,0.488600043754769,0.2356420076974
"YNCB0001W",0,0.710747902633047,0,1.44751519014117
"YBL107C",146.458895285179,149.863179591734,145.948801394778,191.593698390513
"YBL106C",25.0606354804862,22.9224986283414,17.2691843357954,15.2540324785006
"YBL105C",67.74932829441,78.6881835953288,57.2845379424048,44.4620876763415
"YBL104C",21.1482930501215,20.6479448441539,19.1292325118927,18.6170793896598
"YBL103C",43.7380519111646,38.8007058303946,43.9609612262889,37.1598252713449
"YBL102W",185.713489103716,173.39616424607,199.49585027252,222.072955420825
"YBL101C",33.1363540950088,34.4973382723432,39.4168689144472,26.7634941819393
"YBL100W-C",76.1821645088565,54.9763502686662,50.160901991974,54.969389345611
"YBL100W-B",2.74448078495685,4.14009984533371,2.14091225419795,1.73897948322568
"YBL100W-A",0,0,0,0
"YNCB0002W",0.418832626612122,0.408923450829972,0,0.41640847935568
"YBL099W",311.646249069516,352.020679160511,484.745383153169,551.132129702725
"YBL098W",37.5386691244244,36.9095548569092,42.156326985566,64.0266426077411
"YBL097W",6.47942394546965,6.08889726388152,5.6350793125757,4.36171795704791
"YBL095W",72.8830590618983,74.4633005592527,69.8517767350222,73.0594567186383
"YBL093C",216.190915248427,235.389413979719,144.834539214465,125.442583355583
"YBL092W",1099.91415846839,1217.7553072533,1320.97124577561,1813.73653324689
"YBL091C-A",108.980566741919,108.324441705846,82.5470340967397,74.3825419297544
"YBL091C",136.451435107559,143.10285851924,163.199361534146,136.886229130246
"YBL090W",311.187151257476,248.87356896243,239.4291186322,367.449291384994
"YBL089W",29.3562216007663,28.0560009043715,23.2934759990045,26.8954615872535
"YBL088C",8.00559206318507,9.47221989606653,9.52524733793372,8.32269314848027
"YBL087C",538.603582728022,567.897874898046,595.049352562805,943.654033085946
"YBL086C",38.4094331671131,34.5389997909087,50.8824109805689,35.4532735435433
"YBL085W",26.1490742936928,30.2875691352415,32.2107462076538,29.5921683366781
"YBL084C",40.6589543771848,41.5717291034143,48.4969339872323,32.9743578887232
"YBL082C",43.4530485624069,50.1208891338267,29.2489398741826,27.8591485614534
"YBL081W",13.3954554157201,17.8784878922492,16.5117684163197,17.2721121468607
"YBL080C",31.3833399314521,29.5025946742404,28.5299154700202,31.0895282812424
"YBL079W",20.2001053030513,22.1055365645272,21.4710949367365,19.7730767590076
"YBL078C",426.405925038518,388.911615061107,463.46198557142,315.656448073836
"YBL076C",73.696716850417,85.4738936253151,72.4378024794436,105.396103690736
"YBL075C",2404.68306499929,2139.8104394164,2887.55484781506,1772.42667666671
"YBL074C",13.2834257758481,14.7300506337826,13.7212891501076,11.8688113483766
"YNCB0003W",5.90649192756413,3.05298530903741,1.79060811489674,3.45429761283689
"YBL072C",558.357374047174,584.156982661589,694.995884128332,938.047455756361
"YBL071C-B",7.72090448047598,6.63364709124177,2.54664265229758,2.4563894135729
"YBL071W-A",119.597740632028,123.122088482626,118.211776851079,125.864061774082
"YBL071C",73.0232651330144,74.9666525651012,79.4496876973471,85.7828419477837
"YBL069W",35.1728496946856,35.2200379286162,33.0782229621979,30.5863325991226
"YBL068W",45.5349195984329,51.3346910225911,55.4800120019463,82.982017597512
"YBL067C",102.283817532235,97.8152548032769,101.776760852209,83.6888260866914
"YBL066C",26.7518252787751,29.6435691818807,31.6244145813547,23.5016500192198
"YBL064C",861.500879459596,795.012220768878,1068.73333807287,832.072615309967
"YBL063W",15.4798580226004,15.5162914427337,19.0070689682948,17.1306653797283
"YBL061C",26.8461498228453,29.3089185329685,26.6465779959918,30.6304182774636
"YBL060W",28.1453901701072,30.5600936855971,21.7274331957199,22.1356210980745
"YBL059C-A",368.287143718704,313.530283885145,278.666372227663,472.179455024051
"YBL059W",72.9697110663047,82.7325213260797,71.3141986543204,92.1858256401763
"YBL058W",269.836870946054,268.991260471037,296.614797316958,239.956368324181
"YBL057C",106.060845758117,107.884050062827,91.5283474309323,133.663137103036
"YBL056W",149.766450441069,149.023679644613,130.381723616151,135.180634995721
"YBL055C",41.2285243069617,45.5251842741425,38.0081857425846,46.9388756287545
"YBL054W",61.2658174083458,65.2266592317537,60.1335679325677,50.3933425130516
