"","X.scratch_tmp.grp.msc_appbio.group10.outputs.SRR11318268_Aligned.sortedByCoord.out.bam","X.scratch_tmp.grp.msc_appbio.group10.outputs.SRR11318269_Aligned.sortedByCoord.out.bam","X.scratch_tmp.grp.msc_appbio.group10.outputs.SRR11318270_Aligned.sortedByCoord.out.bam","X.scratch_tmp.grp.msc_appbio.group10.outputs.SRR11318271_Aligned.sortedByCoord.out.bam"
"YAL068C",2.32271172697359,3.76650016411959,2.8439553982487,2.1308220155013
"YAL067W-A",0,0,0,0
"YAL067C",0,0,0.0724155309739253,0
"YAL065C",0.155619113490478,0.601347873803028,0.333448258903191,0.399735602907995
"YAL064W-B",3.47753578020455,4.96289559236062,3.89504324474712,3.97910038737235
"YAL064C-A",0,0,0,0
"YAL064W",0,0,0,0
"YAL063C-A",0,0,0,0
"YAL063C",4.27140943139568,4.91066673590285,4.30798515895903,4.89544681221202
"YAL062W",260.271947973654,258.974794709133,324.466087435607,290.480356680871
"YAL061W",272.595543957374,223.280069919463,277.795505175316,183.317982449391
"YAL060W",315.196356469383,349.335619188221,168.409218498873,180.063250646112
"YAL059W",138.544847376523,117.999698279208,119.603428836941,159.491127512942
"YAL058W",31.6687989772477,30.7866499815565,30.1445843995534,31.1445690359541
"YAL056W",46.6552637893942,46.7116243697768,53.5732317463302,44.2963310467871
"YAL055W",90.5587171010047,88.9849499805947,100.645185393755,76.2377508653324
"YAL054C",1537.93433205888,1264.62257691701,1921.25356173331,1280.42300586675
"YAL053W",124.418076716939,125.228873034276,146.354651467512,128.164921762272
"YAL051W",26.3769942620746,26.712282825065,28.3618743801255,21.2266470831982
"YAL049C",227.609964476036,200.608555127641,274.110668733835,256.785619892355
"YAL048C",28.7951692668151,29.0317012265031,33.3316237533716,22.4152191520255
"YAL047C",18.85039550491,17.1677337319044,16.4326299275213,15.4614908032015
"YAL046C",136.306650733946,147.569631228981,125.429784985576,167.350821762653
"YAL044W-A",252.382657666659,262.42333633407,252.08237767326,263.125420430941
"YAL044C",352.249323705469,315.002104991141,464.295988183058,455.890740920723
"YAL043C",41.6566232306401,41.8341304975386,45.4364615612141,30.1260279419088
"YAL042W",200.748656402717,192.629359661947,184.648376094693,163.895248623266
"YAL041W",27.9521959587643,28.6705786288967,27.5823134792211,30.7344783136924
"YAL040C",21.7506504656644,24.4337680841103,28.7259074950474,24.4427656975408
"YAL039C",134.167018695816,141.392754033317,142.705666113766,131.206549394501
"YAL038W",2553.81541746486,2866.71083544899,2584.96777581974,1757.72792506304
"YAL037C-A",9.7136446646476,15.6398942985062,13.8757501285521,29.9414861274957
"YAL037W",28.4269086212056,26.7383834689909,25.6804927752308,31.4398017890167
"YAL036C",68.9598762940144,72.1751532886847,67.5158374329341,85.5436350956099
"YAL035W",123.871728262853,133.956084494579,135.53100893883,102.843880266573
"YAL034W-A",20.5594313626231,23.8740289933197,23.0648460326502,32.7176698987041
"YAL034C",220.532581961246,211.665191692928,231.880040055866,133.996588037407
"YAL033W",115.77659580467,93.0106311621162,79.663951061324,138.398114517163
"YAL032C",62.9188552041147,59.6093992379276,61.1263308294639,46.6807029332769
"YAL031C",30.5871310248292,30.8231283456158,29.9436317409481,25.6270967773386
"YAL030W",348.75825900472,346.699344984292,311.037286197289,240.087300768281
"YAL029C",11.5512304329553,13.1287987696278,15.736062144768,22.8823649189646
"YAL028W",24.7994795764037,23.6094404367015,28.7646398577004,19.5930896933864
"YAL027W",85.7012870940607,80.9788359144334,72.4028167967314,60.8949894069682
"YAL026C",18.4389713532142,20.2658889926396,20.2464692556048,23.0297232039967
"YNCA0001W",0.800859001606584,0.773675622213338,0.915209051032163,0.71314532561352
"YAL025C",88.5713534519479,103.473948233166,87.9211822070556,104.643489247254
"YAL024C",7.08072384874486,7.72497508916745,6.51512849873,5.31459062027817
"YAL023C",60.9377829369827,77.4845636926229,55.947572245301,61.8383614148089
"YAL022C",32.2437996384287,31.6735033106273,36.3923691716172,36.7332324981149
"YAL021C",53.9242512604434,60.00866937455,67.4224023400299,53.3380857487875
"YAL020C",106.414819209883,124.867230342163,76.7891905504867,72.5936610265473
"YAL019W",14.5773317635188,17.5774727229077,15.190085205879,14.8684694362216
"YAL018C",19.3974928732687,18.9473001664173,19.2643083073089,24.5175257059674
"YAL017W",38.8109137857427,40.3018293168876,44.01332724085,38.2963203675589
"YAL016W",136.420706442224,129.808171754149,157.619576401307,117.563749251479
"YAL015C",55.5320970774016,54.4229221852269,40.8103155968379,51.2307144720931
"YAL014C",106.059592884639,112.800293894492,103.378403618884,94.3897552907288
"YAL013W",68.1853195023022,68.3786964864689,77.6862579395533,51.6675004456243
"YAL012W",45.4352655250706,54.3753590889583,52.0261590737695,50.129880571267
"YAL011W",28.7814567286643,31.2588021573786,28.1382923333714,21.6972143082582
"YAL010C",35.4764325991036,33.624506353586,30.4543222330556,30.9604125447449
"YAL009W",67.1349833623702,66.5345164834297,65.0185630062118,72.033585599722
"YAL008W",250.935820503396,219.467799149209,223.990516679436,246.117009838291
"YAL007C",72.3066919820897,87.7644253667562,78.2630851000698,141.567474146541
"YNCA0002W",1.25467910251698,2.02015301355705,0,1.71886309250438
"YAL005C",1562.70184654019,1756.67730580568,1477.8067716519,1189.19128710002
"YAL003W",1261.07978431533,1480.69603722956,1336.83635504819,1600.33627229951
"YNCA0003W",343.634464783474,411.540818620634,216.022983435172,273.905889270257
"YAL002W",19.4844284155578,20.3365238898882,20.7989332221039,17.3342287399383
"YAL001C",32.5849132636451,33.4165672650822,33.6597492459499,26.7023382742541
"YAR002W",45.8933733942878,46.436583938298,54.0871600844248,53.7431193589703
"YAR002C-A",255.680788745642,271.596717153568,233.795352137592,270.486546647735
"YAR003W",39.6090733066251,41.3076346416143,34.1247590251659,50.623939698677
"YAR007C",91.4503726554821,92.1657462339493,114.97129778943,100.395974518785
"YAR008W",53.5693425509424,46.551352051532,55.4439280272482,100.105091843896
"YAR009C",0.494743973590656,0.542757902389262,0.422242438122399,0.473872030514992
"YAR010C",0.0910424745590553,0.197892540103548,0.0487696433089701,0.116929462075128
"YNCA0004W",0.412497239183665,0.796991873841685,0,0.423829255686012
"YAR014C",41.1817490212053,41.6140139649014,39.122286621252,39.2772321306917
"YAR015W",96.9086347846341,98.2939337306507,140.288579577393,157.11640424058
"YAR018C",14.5496732622153,15.9907157807066,11.9622650907558,14.7364913756454
"YAR019C",17.0790779985696,17.3546683503116,15.9706326094987,12.7566085511402
"YAR020C",228.172356786302,179.562743576456,101.20005796882,79.9271338014537
"YAR023C",30.3353525230772,33.5076046515329,25.7491524260535,34.0907846680035
"YNCA0005W",1.10166945586857,1.06427573397152,3.54085452975553,2.26386846329845
"YNCA0006C",3.30500836760571,5.32137866985759,1.57371312433579,3.39580269494768
"YAR027W",126.31854015171,113.97771782252,126.629448922102,175.848434345024
"YAR028W",10.1655702603929,12.2962845557106,6.13190064191549,10.5326078859843
"YAR029W",9.10060575692317,8.92099570786793,6.88237206376186,11.2757418868287
"YAR031W",10.8095430370694,11.8695813184516,11.5089833842172,11.6928679938258
"YAR033W",19.2633285186437,17.9492744353494,17.9380974002304,23.1278514829738
"YAR035W",168.156178321055,141.518765645067,192.09745790251,109.262730359864
"YAR035C-A",8.17864896455514,5.74621301634005,11.5502771903411,8.02136109835378
"YAR042W",36.1229394763341,36.2995501295573,43.3946871871444,32.3446954009193
"YAR050W",1.90567645219744,2.30754539285892,2.94363483302559,2.21284065224881
"YAR061W",0,0,0,0
"YAR064W",1.2044919384163,1.93934689301477,2.5808895239107,1.95950392545499
"YAR066W",5.70755983890078,5.75149446212713,5.42956742162586,3.74105496603895
"YAR068W",19.6411494073029,20.3511710995377,16.4624640414057,12.2230264355867
"YAR071W",11.538758241951,12.8875402505896,13.2353308918497,12.8253630748404
"YBL113C",42.6306100103626,46.7962204260247,49.4290789967134,37.6112388160605
"YBL112C",0,0,0,0
"YBL111C",0.165287067397447,0.058064278233975,0.0482950883965325,0.185266680629215
"YBL108C-A",0.93371468094287,0.676516358028407,0.500172388354787,0.239841361744797
