"ONTOLOGY","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"CC","GO:0019866","organelle inner membrane","12/89","286/6479",0.041958041958042,3.05445116681072,4.19366123776926,0.000489311939662819,0.0440380745696537,0.00131856691109139,"YBL099W/YBL045C/YDL004W/YER053C/YJR121W/YLR168C/YLR395C/YOR065W/YPL134C/YPR191W/Q0130/Q0275",12
"CC","GO:0000307","cyclin-dependent protein kinase holoenzyme complex","4/89","28/6479",0.142857142857143,10.3996789727127,5.88225113493521,0.000529486174470024,0.0471242695278321,0.00137194798243245,"YGR109C/YMR199W/YNL289W/YPL256C",4
"MF","GO:0015078","proton transmembrane transporter activity","11/89","103/6480",0.106796116504854,7.77571724664558,8.17956603334419,1.24335702347528e-07,1.91476981615193e-05,1.24820693731127e-05,"YBL099W/YBL045C/YDL004W/YDR536W/YJR121W/YLR395C/YOR065W/YPR191W/Q0055/Q0130/Q0275",11
"MF","GO:0022890","inorganic cation transmembrane transporter activity","13/89","161/6480",0.0807453416149068,5.87898667038872,7.3974659780258,2.32163807372602e-07,3.55210625280082e-05,1.24820693731127e-05,"YBL099W/YBL045C/YBR296C/YDL004W/YDR536W/YER053C/YJR121W/YLR395C/YOR065W/YPR191W/Q0055/Q0130/Q0275",13
"MF","GO:0008324","monoatomic cation transmembrane transporter activity","13/89","165/6480",0.0787878787878788,5.7364657814096,7.27234181246497,3.09338240985837e-07,4.70194126298472e-05,1.24820693731127e-05,"YBL099W/YBL045C/YBR296C/YDL004W/YDR536W/YER053C/YJR121W/YLR395C/YOR065W/YPR191W/Q0055/Q0130/Q0275",13
"MF","GO:0015075","monoatomic ion transmembrane transporter activity","13/89","173/6480",0.0751445086705202,5.47119568747159,7.03396006522225,5.35954847698903e-07,8.09291820025344e-05,1.62196861803615e-05,"YBL099W/YBL045C/YBR296C/YDL004W/YDR536W/YER053C/YJR121W/YLR395C/YOR065W/YPR191W/Q0055/Q0130/Q0275",13
"MF","GO:0016798","hydrolase activity, acting on glycosyl bonds","9/89","80/6480",0.1125,8.19101123595506,7.63676731671226,1.20570739008382e-06,0.000180856108512573,2.80123126556023e-05,"YBR162C/YEL040W/YGL028C/YGR279C/YHR143W/YLR286C/YMR305C/YNL327W/YNL066W",9
"MF","GO:0015318","inorganic molecular entity transmembrane transporter activity","13/89","188/6480",0.0691489361702128,5.03466411666268,6.62455237390179,1.38843636640811e-06,0.000206877018594809,2.80123126556023e-05,"YBL099W/YBL045C/YBR296C/YDL004W/YDR536W/YER053C/YJR121W/YLR395C/YOR065W/YPR191W/Q0055/Q0130/Q0275",13
"MF","GO:0009055","electron transfer activity","7/89","46/6480",0.152173913043478,11.0796287249634,8.09557140254587,2.51755382166117e-06,0.000372597965605854,3.90491624010467e-05,"YBL045C/YJR048W/YLR395C/YOR065W/YPR191W/Q0055/Q0275",7
"MF","GO:0015453","oxidoreduction-driven active transmembrane transporter activity","6/89","30/6480",0.2,14.561797752809,8.78542181248742,2.58064029780831e-06,0.000379354123777821,3.90491624010467e-05,"YBL045C/YLR395C/YOR065W/YPR191W/Q0055/Q0275",6
"MF","GO:0004553","hydrolase activity, hydrolyzing O-glycosyl compounds","8/89","67/6480",0.119402985074627,8.69361059869193,7.4696726064565,3.10153395388989e-06,0.000452823957267924,4.17165385610921e-05,"YEL040W/YGL028C/YGR279C/YHR143W/YLR286C/YMR305C/YNL327W/YNL066W",8
"MF","GO:0022853","active monoatomic ion transmembrane transporter activity","9/89","102/6480",0.0882352941176471,6.42432253800397,6.51580259571776,9.30696403874889e-06,0.00134950978561859,0.000112663248890118,"YBL045C/YBR296C/YDR536W/YJR121W/YLR395C/YOR065W/YPR191W/Q0055/Q0275",9
"MF","GO:0022804","active transmembrane transporter activity","11/89","177/6480",0.0621468926553672,4.52485240906494,5.61071877613205,2.65406158900506e-05,0.00382184868816729,0.000292073763383332,"YBL045C/YBR296C/YDR536W/YER053C/YJR121W/YLR395C/YOR065W/YPL134C/YPR191W/Q0055/Q0275",11
"MF","GO:0020037","heme binding","5/89","30/6480",0.166666666666667,12.1348314606742,7.21321708050955,4.74447204998901e-05,0.00678459503148429,0.000441792943926103,"YGR088W/YJR048W/YML054C/YOR065W/Q0055",5
"MF","GO:0046906","tetrapyrrole binding","5/89","30/6480",0.166666666666667,12.1348314606742,7.21321708050955,4.74447204998901e-05,0.00678459503148429,0.000441792943926103,"YGR088W/YJR048W/YML054C/YOR065W/Q0055",5
"MF","GO:0015926","glucosidase activity","5/89","33/6480",0.151515151515152,11.0316649642492,6.81735231568898,7.64939730405113e-05,0.0107856501987121,0.000661414052605925,"YGL028C/YGR279C/YHR143W/YMR305C/YNL066W",5
"MF","GO:0015252","proton channel activity","4/89","18/6480",0.222222222222222,16.1797752808989,7.60996575794017,8.78348760968322e-05,0.0122968826535565,0.00066454018099577,"YBL099W/YDL004W/YJR121W/Q0130",4
"MF","GO:0046933","proton-transporting ATP synthase activity, rotational mechanism","4/89","18/6480",0.222222222222222,16.1797752808989,7.60996575794017,8.78348760968322e-05,0.0122968826535565,0.00066454018099577,"YBL099W/YDL004W/YJR121W/Q0130",4
"MF","GO:0015399","primary active transmembrane transporter activity","7/89","88/6480",0.0795454545454545,5.79162410623085,5.34035685532888,0.000187256999666078,0.0258414659539188,0.0013334089759504,"YBL045C/YJR121W/YLR395C/YOR065W/YPR191W/Q0055/Q0275",7
"MF","GO:0046912","acyltransferase activity, acyl groups converted into alkyl on transfer","3/89","10/6480",0.3,21.8426966292135,7.78334626051161,0.000280332933608747,0.0384056119043984,0.00182395047438165,"YCR005C/YNL117W/YNR001C",3
"MF","GO:0005215","transporter activity","16/89","442/6480",0.0361990950226244,2.63561950277086,4.20350380812,0.00028628092228338,0.0389342054305397,0.00182395047438165,"YBL099W/YBL045C/YBR296C/YDL004W/YDR536W/YER053C/YJR121W/YLR168C/YLR395C/YOR065W/YOR348C/YPL134C/YPR191W/Q0055/Q0130/Q0275",16
"MF","GO:0022857","transmembrane transporter activity","15/89","400/6480",0.0375,2.73033707865169,4.2157369541842,0.000311451528044258,0.0420459562859748,0.00188510135395209,"YBL099W/YBL045C/YBR296C/YDL004W/YDR536W/YER053C/YJR121W/YLR395C/YOR065W/YOR348C/YPL134C/YPR191W/Q0055/Q0130/Q0275",15
