"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"YAL060W",9535.22370188625,-0.931895163794394,0.179287727703146,-5.19776325871768,2.01700775453747e-07,1.79684141513373e-05
"YAR020C",810.57637805749,-1.1721430284698,0.230567394259863,-5.08373281587563,3.70088446260168e-07,3.04001223713709e-05
"YBL099W",22905.8405286592,0.701225853228225,0.18361366744912,3.81902863207357,0.000133978212829771,0.00539752991177263
"YBL093C",3900.88012475289,-0.6816018294276,0.187089948052477,-3.64317718040317,0.000269293332571275,0.00915742112103931
"YBL045C",20469.7913021823,0.940166051960589,0.223723694636898,4.20235350344304,2.64154195876948e-05,0.00138080602390223
"YBL043W",6794.32704116561,0.990410856996301,0.211777652086589,4.67665425146631,2.91593280047269e-06,0.000200470380032497
"YBR054W",55716.4163934355,-0.755020184453988,0.185847893836282,-4.06257057246558,4.85352673978581e-05,0.00224360646696954
"YBR158W",14800.3680907623,1.44981646236944,0.277129419033914,5.23155018122423,1.68094388476558e-07,1.51885286730604e-05
"YBR162C",12929.9419501957,1.26806625529374,0.274212445603027,4.62439351541869,3.75696025723198e-06,0.000250134459231497
"YBR230W-A",1683.83883246689,-0.74692172022009,0.192182443302409,-3.88652421826467,0.000101689785667609,0.00428791929565084
"YBR284W",2369.34341829532,-0.753807635380891,0.18141623215637,-4.15512783184227,3.2510572784134e-05,0.001606479475466
"YBR296C",1469.69176996946,0.959402916680965,0.227341830689493,4.22008969388187,2.44205138757627e-05,0.00130854672125388
"YBR298C",14799.4014165645,-1.28166890138905,0.23502664908453,-5.45329181342361,4.94458270949163e-08,5.0442718770217e-06
"YBR299W",4046.66129215764,-2.25002960169849,0.323608635898773,-6.9529343537121,3.57765198755349e-12,7.80298235216409e-10
"YCL064C",15416.1028150477,0.781461991185369,0.203037923432828,3.8488474368381,0.000118674886972932,0.00487414714353114
"YCL040W",32170.5630170844,-0.918228201420247,0.196589978724585,-4.67077827352862,3.00060690674407e-06,0.000204073534248992
"YCL036W",1361.25378985774,0.958630141509799,0.263406727553787,3.6393532937159,0.000273323599037843,0.00924476879098588
"YCL024W",2042.40037675772,0.682185767915321,0.182460342720636,3.7388166532155,0.000184888504632691,0.00695716659756526
"YCL019W",383.399418825687,-1.61655291407222,0.283461036432814,-5.70291047551213,1.17778848147599e-08,1.39794504205837e-06
"YNCC0002W",46.8530132168186,-2.17430128852268,0.512613870274136,-4.24159667657823,2.2193525339813e-05,0.00119977818610528
"YCR005C",22727.2468503201,1.08755602448518,0.263203400300193,4.13199838316976,3.59622951213958e-05,0.00176326757087464
"YCR018C",5516.81355131382,-1.35852880175726,0.190366161134275,-7.13639857873177,9.58079378094582e-13,2.33071233324932e-10
"YCR021C",83704.1718697122,-0.856534496527134,0.189740171758294,-4.51424961087448,6.35413437599662e-06,0.000386515013354901
"YDL245C",479.405628641488,-1.54481813682398,0.213567627548314,-7.23339091489651,4.7108086560317e-13,1.29547238040872e-10
"YDL218W",35413.4648093475,1.59289574588455,0.336176785909919,4.73826811560801,2.15552497095111e-06,0.000156709143003055
"YDL079C",4679.59696039233,-0.772232757804634,0.207314255824712,-3.72493804023574,0.00019536320043802,0.00726866025159102
"YDL039C",828.651945576621,-0.828469068855318,0.20464709970471,-4.04828150533642,5.15950683352882e-05,0.00236477396536738
"YDL004W",12136.2811836028,0.881522544065523,0.238825842285078,3.69106850260066,0.000223313979929441,0.00789222932482979
"YDR134C",21189.3612713585,2.19292023369643,0.275444935737457,7.96137430454207,1.70138844908318e-15,5.97848996691729e-13
"YDR148C",14489.5105374447,0.700183241701875,0.172362326584977,4.06227541467234,4.85966934347553e-05,0.00224360646696954
"YNCD0019C",52.1555637688909,-1.63632927879136,0.432604632090438,-3.7825052193368,0.000155257836772099,0.00602457556799708
"YDR261W-B",757.669339059127,-1.13054835687846,0.259935232176435,-4.34934636375528,1.36543905182838e-05,0.000764283363080932
"YNCD0020W",883.951491710227,-2.00247967681912,0.213994599292799,-9.3576178251079,8.15546388716621e-21,4.68939173512057e-18
"YDR274C",815.968914782173,-1.32729471240545,0.233372174226492,-5.68745917033487,1.28943418169183e-08,1.48284930894561e-06
"YDR343C",11192.5856345665,-0.896822215484605,0.244661577160355,-3.66556214463056,0.00024679587000911,0.00862422031937913
"YDR365C",9526.90521693318,-1.19832775887096,0.192650446602003,-6.22021791284286,4.96464881336768e-10,7.65887896208551e-08
"YDR403W",953.820634964497,0.888226465973498,0.224036536048422,3.9646500594953,7.35036965172542e-05,0.00318432109912077
"YDR492W",5995.54140014044,-0.71363175971936,0.195545269641009,-3.6494452718262,0.000262807221154322,0.00903399822717983
"YDR507C",3833.95678639241,0.799677038566813,0.220006020872251,3.63479615419778,0.000278200516544616,0.00935967163374839
"YDR516C",9554.66861566422,-1.0094211578296,0.221740589303598,-4.55226154579912,5.30722988919709e-06,0.000339073020698703
"YDR536W",8426.06368827763,0.807590065173113,0.217831326334557,3.70741012673619,0.000209389690070458,0.00756794165540369
"YEL070W",2232.42097103665,-2.45167448680663,0.200706930911956,-12.2151959360193,2.57879442476455e-34,5.43695824554526e-31
"YEL069C",467.993546428961,-3.31567062590441,0.239705254090888,-13.8322818099232,1.62774002673375e-43,1.02954556690909e-39
"YEL040W",2414.26856558308,1.48975657133476,0.276067329878142,5.39635230286882,6.80093459560639e-08,6.72123614331413e-06
"YNCE0007C",715.151669563551,-1.15133453651814,0.201965422780215,-5.70065172874196,1.19350248650042e-08,1.39794504205837e-06
"YER024W",23738.6320971992,0.71762631792832,0.185283678821574,3.87312213624269,0.000107449945495249,0.00447119016616743
"YER053C",2918.87813065534,0.715147009301292,0.191306177397148,3.73823270649887,0.000185318377909331,0.00695716659756526
"YER065C",48076.2384785696,0.990115646984899,0.191061636940851,5.18217923199003,2.19308317528123e-07,1.92656265050747e-05
