"","X.scratch_tmp.grp.msc_appbio.group10.outputs.SRR11318268_Aligned.sortedByCoord.out.bam","X.scratch_tmp.grp.msc_appbio.group10.outputs.SRR11318269_Aligned.sortedByCoord.out.bam","X.scratch_tmp.grp.msc_appbio.group10.outputs.SRR11318270_Aligned.sortedByCoord.out.bam","X.scratch_tmp.grp.msc_appbio.group10.outputs.SRR11318271_Aligned.sortedByCoord.out.bam"
"YAL068C",1.81782843736431,3.11357979627545,2.17617634376057,1.46690664304668
"YAL067W-A",0,0,0,0
"YAL067C",0,0,0.0554118976420515,0
"YAL065C",0.121792492204364,0.497104608740663,0.255152458909912,0.275187137687826
"YAL064W-B",2.72163065256682,4.10258085067958,2.98046199049491,2.73930377531456
"YAL064C-A",0,0,0,0
"YAL064W",0,0,0,0
"YAL063C-A",0,0,0,0
"YAL063C",3.34294154623068,4.05940583271499,3.29644248217511,3.37013762635921
"YAL062W",203.697145444383,214.081681512264,248.279359185706,199.973325688345
"YAL061W",213.341985555035,184.574614182902,212.567330394073,126.200294669689
"YAL060W",246.68274305836,288.778515499697,128.865648734904,123.959662806102
"YAL059W",108.429625806167,97.5445268869706,91.5197729992112,109.797342412335
"YAL058W",24.7850142957794,25.44980411543,23.0664417252107,21.4406341220943
"YAL056W",36.513900663687,38.6141944913313,40.9938916963884,30.4946080913472
"YAL055W",70.874146492527,73.5594664435449,77.0130472869439,52.4838125294963
"YAL054C",1203.63656460211,1045.40107097619,1470.13084452183,881.472501950778
"YAL053W",97.3735635600891,103.520528872991,111.989636166253,88.2316654187579
"YAL051W",20.6434787860094,22.0817258708282,21.7023235064605,14.6129096608875
"YAL049C",178.134833198233,165.833191819715,209.747717294826,176.777097720354
"YAL048C",22.5360198358058,23.9990745922281,25.505143700876,15.4311498756115
"YAL047C",14.7529220292173,14.1917181909877,12.5741425256053,10.6440441320884
"YAL046C",106.677941575171,121.988531081287,95.97806317802,115.208135816638
"YAL044W-A",197.52273468814,216.932420676517,192.891810929692,181.141561508501
"YAL044C",275.681579525358,260.396693786926,355.276298147679,313.845619903992
"YAL043C",32.6018047930103,34.582211027816,34.7676875856032,20.7394471218654
"YAL042W",157.11231494363,159.237184728256,141.291747479063,112.82924018067
"YAL041W",21.8762819813324,23.7005523633969,21.1058085287244,21.1583182832484
"YAL040C",17.0227542611042,20.1981901868173,21.9808793001014,16.8269593214807
"YAL039C",105.003397153993,116.882411553216,109.197456088309,90.325591493734
"YAL038W",1998.69757221054,2369.76836588146,1978.0006840425,1210.06013228046
"YAL037C-A",7.602208787595,12.9287287353922,10.6176345804447,20.6124043132623
"YAL037W",22.2478072839954,22.1033019850075,19.6505475817186,21.6438791062187
"YAL036C",53.970203322528,59.6636371381285,51.6626837190247,58.8901962149989
"YAL035W",96.945973797221,110.734883870098,103.707454652878,70.8000809369529
"YAL034W-A",16.0904681166407,19.7354815054601,17.6490715500116,22.5235927591663
"YAL034C",172.595847430828,174.97316758618,177.433112372496,92.2463179504073
"YAL033W",90.6104643942142,76.887298395455,60.9583419827572,95.2764295156764
"YAL032C",49.2423071310167,49.2761484264297,46.7734744412222,32.1360642685131
"YAL031C",23.9384663833297,25.4799589786683,22.9126740458224,17.6422799422945
"YAL030W",272.949360707154,286.599237724274,238.003727015846,165.281592665205
"YAL029C",9.04036214383524,10.8529299926459,12.0411333470553,15.7527437130175
"YAL028W",19.4088653715808,19.5167592040356,22.0105170544049,13.4883313669332
"YAL027W",67.0725665131489,66.9412070736019,55.4021688355953,41.9215043957218
"YAL026C",14.4309283379271,16.7528102406954,15.4924678023624,15.8541885289848
"YNCA0001W",0.626777852168737,0.639559453399722,0.700312068071885,0.490945563726047
"YAL025C",69.3187721795267,85.5368062183384,67.2767220443325,72.0389729464414
"YAL024C",5.5416008021552,6.38585565281268,4.98533434252427,3.6586858166685
"YAL023C",47.6918566545993,64.0526646818723,42.8107217455076,42.570943276632
"YAL022C",25.2350281917182,26.1829219933897,27.8472063709028,25.2879979557494
"YAL021C",42.2028425940467,49.6062053430565,51.5911877880475,36.7191589645193
"YAL020C",83.2836388046997,103.2215767077,58.7585937653578,49.9751376831294
"YAL019W",11.4086857671081,14.5304291928581,11.6233553117947,10.2357946507319
"YAL018C",15.1810979163324,15.6627979348338,14.7409245739548,16.8784258222947
